bag,output_index,record_time_ns,width,height,occupied_cells,raster_sha256,exact_replay_match,matched_attempt_index,hash_multiplicity_in_recorded,startup_or_unrecovered
sense1-1,93,1746434346912401863,534,534,272799,80052110852c1aa54b62bcd10f7fea2344277b40164c8830e0b9be79a69b657c,1,90,2,0
sense1-1,94,1746434347372699381,534,534,272799,80052110852c1aa54b62bcd10f7fea2344277b40164c8830e0b9be79a69b657c,1,91,2,0
sense1-1,95,1746434347925470829,534,534,272528,89e102e850484a7f8da717b87c681e62f5e5f2a549432738685e07ae8dd061aa,1,92,2,0
sense1-1,96,1746434348376419587,534,534,272528,89e102e850484a7f8da717b87c681e62f5e5f2a549432738685e07ae8dd061aa,1,93,2,0
sense1-1,97,1746434348930010775,534,534,272889,cb76b86e850a1965e7eecfc509e3c037f4e33e3375c28af72fac27c85ca8b78e,1,94,2,0
sense1-1,98,1746434349384878767,534,534,272889,cb76b86e850a1965e7eecfc509e3c037f4e33e3375c28af72fac27c85ca8b78e,1,95,2,0
sense1-1,99,1746434349917934776,534,534,272042,c03c8a25a1503aaa2fa4477b9aab9d5daf5824bb52f9990ddcb6f5a2cab40be9,1,96,2,0
sense1-1,100,1746434350372506267,534,534,272042,c03c8a25a1503aaa2fa4477b9aab9d5daf5824bb52f9990ddcb6f5a2cab40be9,1,97,2,0
sense1-1,101,1746434350924268003,534,534,271517,f59d412556748507ebeb25ad75686cfe375890e7841bebb302fa5a3683fcbab5,1,98,2,0
sense1-1,102,1746434351372337011,534,534,271517,f59d412556748507ebeb25ad75686cfe375890e7841bebb302fa5a3683fcbab5,1,99,2,0
sense1-1,103,1746434351914423607,534,534,272412,1ae03ad9fc2bfeab7df9fecc9ed517d0353f225ad06c66569a4887cbcc23432d,1,100,2,0
sense1-1,104,1746434352363521631,534,534,272412,1ae03ad9fc2bfeab7df9fecc9ed517d0353f225ad06c66569a4887cbcc23432d,1,101,2,0
sense1-1,105,1746434352928725941,534,534,271722,247f7a39aa18bfc9d84864cfc9e1fca81724de4a78931d8084bfd8e3a5053e83,1,102,2,0
sense1-1,106,1746434353385967527,534,534,271722,247f7a39aa18bfc9d84864cfc9e1fca81724de4a78931d8084bfd8e3a5053e83,1,103,2,0
sense1-1,107,1746434353977945934,534,534,272935,b4367894ef571e85a16c10e6550630bf387b4432390ab23d04661c2284f13da3,1,104,1,0
sense1-1,108,1746434354623200275,619,684,404424,781db739558022b499f7522400a6e5481005162c792636bf35410875ced49cd2,1,105,1,0
sense1-1,109,1746434355352731959,645,744,458109,e85ab7796da54bdd6dd8508607be66763daa3c3169f2819b3b9a2a94f8f6b9c9,1,106,1,0
sense1-1,110,1746434355901433351,534,534,272343,d6e6afcaf3d3dc53807c5fde88fa5a6bc4d0deda6f5b4b8be94b823f8f93ca1c,1,108,2,0
sense1-1,111,1746434356352913889,534,534,272343,d6e6afcaf3d3dc53807c5fde88fa5a6bc4d0deda6f5b4b8be94b823f8f93ca1c,1,109,2,0
sense1-1,112,1746434357156026189,618,703,414490,02689c87b0c5913fe84067bf3b6209462947315956bb972c35b26d32187e935e,1,110,1,0
sense1-1,113,1746434357603279583,534,534,272490,358c0e5d77ce5948ba20b81943747584a7b16ef3b4d0eb74c93527470d31b44d,1,111,1,0
sense1-1,114,1746434358063651628,534,534,271343,7ebcb8734d98023f0f478a18056b9b20c34ea7315d5b45adb9a99a7ca70b0c68,1,112,2,0
sense1-1,115,1746434358508353753,534,534,271343,7ebcb8734d98023f0f478a18056b9b20c34ea7315d5b45adb9a99a7ca70b0c68,1,113,2,0
sense1-1,116,1746434358968521126,534,534,272533,9b41a627cc37dd9b8b856b970654c0c288807cad5c7f7d71b26fd9d9130696d5,1,114,1,0
sense1-1,117,1746434359658466153,611,735,429910,c43cfc5f2cd62a79e74ddeb6941b0ed6b86b95410c856741741825669827d9b1,1,115,1,0
sense1-1,118,1746434360337058861,675,675,432451,621c3ca29d495afac1e3dcc3d00e23cceb3eca16477c8c3118b486550dd3b278,1,116,1,0
sense1-1,119,1746434361034181122,607,748,435323,414469b26418b53e72501470e3b8a63510c7f6c7130f3c3c884d460be88af5bd,1,117,1,0
sense1-1,120,1746434361724364930,613,688,403333,0cda75b9d5761429a62afae828ae56e30793b5798927477bb11ebf15cae74e5c,0,,1,1
sense1-1,121,1746434362358427269,605,689,398245,f257419ffa07ac6511a955168d6f0289a6c9afc51be11db93ef4c1db81bb1e6e,1,119,1,0
sense1-1,122,1746434363084185202,611,774,453341,ac2a54976c37255f8115661c091a153d98f921a6bf4cba70d0821d933c42fe69,0,,1,1
sense1-1,123,1746434363817281390,608,779,453778,e7d6beba0174bdb5e95015e1a94461c65f3bc8a329c880c1a061869ab5bebd98,1,121,1,0
sense1-1,124,1746434364639602713,670,793,509036,271937b44aa6e4169c70b417831299b3129cf7c9a3c8b05ea510d61dc7825447,0,,1,1
sense1-1,125,1746434365305609950,605,719,415916,c6e24127709a9c05dc76385ea99097501b21f8eb22b619ee3f464b7ab29567f6,1,123,1,0
sense1-1,126,1746434366006588548,588,754,425488,fa91533ebe626bfae032a3f67661cb0421e6f0fecc267d4c725f8256a28536c5,0,,1,1
sense1-1,127,1746434366745380611,602,793,458376,9f9209693e2c7e8f1fb2ab57f8578b3fec9c17dc3d8cf33601bf9f69d2fce57d,1,125,1,0
sense1-1,128,1746434367197191298,534,534,272579,b7706636d2b0bb1cb0f8d62a18d437f6c266ed3457af169b502f35a2a50aae56,0,,1,1
sense1-1,129,1746434367970165933,610,812,475612,43601011cb31093e1ff53eb98eb3f68f200cbab4423b2671ded70924cb31ce99,1,127,1,0
sense1-1,130,1746434368782622716,613,826,486418,853d802d323c81f098b51e9226759e992208178d55d14c73389b5e46eb19cf1b,0,,1,1
sense1-1,131,1746434369236473325,534,534,272840,7bd774779911d9d684dbd86d3b42268f9c732c539f4cd1855f51341ba49ded14,1,129,4,0
sense1-1,132,1746434369695676145,534,534,272840,7bd774779911d9d684dbd86d3b42268f9c732c539f4cd1855f51341ba49ded14,0,,4,1
sense1-1,133,1746434370154590231,534,534,273227,ac631d9e5d7c90bd07c2297ce631c377d8c694b9fded71f3379d4bbde7522845,1,131,2,0
