bag,topic,message_type,message_count
sense5-2,/traveling_distance,std_msgs/msg/Float32,0
sense5-2,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense5-2,/robot_0/map,nav_msgs/msg/OccupancyGrid,24
sense5-2,/robot_1/map,nav_msgs/msg/OccupancyGrid,25
sense5-2,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense5-2,/clicked_point,geometry_msgs/msg/PointStamped,0
sense5-2,/explored_volume,std_msgs/msg/Float32,0
sense5-2,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense5-2,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,75
sense5-2,/explored_areas,sensor_msgs/msg/PointCloud2,0
